ADHD-middelen;Alzheimer-middelen;Anti-epileptica;Antidepressiva en lithium;Antihistaminica;Antihypertensiva;Antipsychotica;Benzodiazepinen;Hoestmiddelen;Hoofdpijnmiddelen;Incontinentie-middelen;Middelen bij kanker;Ontwenningsmiddelen;Opioïden;Parkinsonmiddelen;Maagdarmmiddelen;Overig
Amfetamine - Cat. II;Ebixa - Cat. II;Acetazolamide - Cat. II;Amitriptyline - Cat. III → I;Aerius - Cat. I;Catapresan - Cat. II;Abilify - Cat. II;Alprazolam - Cat. III;Bisoltussin - Cat. I;Almogran - Cat. II;Detrusitol - Cat. I;Marinol - Cat. II;Antabus - Cat. II;Actiq - Cat. III → I;Adartrel - Cat. II;Chloorpromazine - Cat. III;Arava - Cat. I
Amfexa - Cat. II;Exelon - Cat. II;Carbamazepine - Cat. II;Anafranil - Cat. II;Allerfre - Cat. I;Clonidine - Cat. II;Anatensol - Cat. II;Bromazepam - Cat. III;Dampo bij droge hoest - Cat. I;Almotriptan - Cat. II;Dridase - Cat. II;Revlimid - Cat. II;Baclofen - Cat. II;Breakyl - Cat. III → I;Akineton - Cat. II;Levomepromazine - Cat. III;Aspendos - Cat. I
Concerta - Cat. I;Galantamine - Cat. II;Depakine - Cat. II;Aurorix - Cat. I;Allergietablet Cetirizine - Cat. I;Dixarit - Cat. II;Cisordinol - Cat. II;Bromazepamum - Cat. III;Darolan hoestprikkeldempend - Cat. I;Deseril - Cat. I;Emselex - Cat. I;Thalidomide - Cat. II;Champix - Cat. I;Bronchicum extra sterk siroop - Cat. II;APO-go - Cat. II;Litican - Cat. II;Biltricide - Cat. II
Dexamfetamine - Cat. II;Reminyl - Cat. II;Diacomit - Cat. II;Camcolit - Cat. II;Altriabak - Cat. II;Methyldopa - Cat. II;Clozapine - Cat. II;Buspiron - Cat. I;Dextromethorfan - Cat. I;Eletriptan - Cat. II;Kentera - Cat. II;;Lioresal - Cat. II;Bunalict - Cat. III → I;Artane - Cat. II;Metoclopramide - Cat. II;Cabergoline - Cat. II
Elvanse - Cat. II;Rivastigmine - Cat. II;Diamox - Cat. II;Camcolit - Cat. II;Atarax - Cat. III;Metoprolol - Cat. I;Dipiperon - Cat. II;Chloordiazepoxide - Cat. III;Fluitussin - Cat. I;Flunarizine - Cat. II;Oxybutynine - Cat. II;;Nalorex - Cat. II;BuTrans - Cat. III → I;Azilect - Cat. I;Nozinan - Cat. III;Cannabis Flos - Cat. II
Equasym XL - Cat. I;;Diphantoïne - Cat. III;Cipramil - Cat. I;Claritine - Cat. I;Metropolol - Cat. I;Dogmatil - Cat. II;Clorazepatum - Cat. II;Noscapect - Cat. I;Fromirex - Cat. II;Toviaz - Cat. I;;Naltrexon - Cat. II;Codeïne - Cat. II;Comtan - Cat. II;Primperan - Cat. II;Chloralhydraat drank fna - Cat. III
Kinecteen - Cat. I;;Diphantoïne Z - Cat. III;Citalopram - Cat. I;Cyclizine - Cat. II;Moxonidine - Cat. II;Fluanxol - Cat. II;Clorazepinezuur - Cat. II;Noscapine - Cat. I;Frovatriptan - Cat. II;Urispas - Cat. I;;Refusal - Cat. II;Dipidolor - Cat. III;Duodopa - Cat. II;;Chloralhydraat klysma fna - Cat. III
Lisdexamfetamine - Cat. II;;Epanutin - Cat. III;Clomipramine - Cat. II;Desloratadine - Cat. I;Propranolol - Cat. I;Flufenazine - Cat. II;Dalmadorm - Cat. III;Pectofree - Cat. I;Imigran - Cat. II;Vesicare - Cat. I;;Revia - Cat. II;Durogesic - Cat. III → I;Eldepryl - Cat. I;;Chloralhydraat zetpillen fna - Cat. III
Medikinet - Cat. I;;Ethymal - Cat. II;Cymbalta - Cat. II;Ebastine - Cat. I;Selokeen - Cat. I;Haldol - Cat. II;Diazepam - Cat. III;Toplexil - Cat. III;Maxalt - Cat. II;;;Wellbutrin - Cat. II;Effentora - Cat. III → I;Glycopyrronium drank FNA - Cat. II;;Cinnarizine - Cat. II
Medikinet CR - Cat. I;;Fenobarbital - Cat. III;Efexor - Cat. I;Fenistil - Cat. II;Selokeen - Cat. I;Haloperidol - Cat. II;Dormicum - Cat. III → I;Vicks hoestsiroop met honing - Cat. I;Naramig - Cat. II;;;Wellbutrin - Cat. II;Fentanyl - Cat. III → I;Levodopa - Carbidopa - Cat. II;;Dantrium - Cat. II
Methylfenidaat - Cat. I;;Fenytoïne - Cat. III;Fevarin - Cat. I;Fexofenadine - Cat. I;;Imap - Cat. II;Dormonoct - Cat. III;Vicks hoesttabletten met honing - Cat. I;Naratriptan - Cat. II;;;Zyban - Cat. II;Fortral - Cat. III → I;Madopar - Cat. II;;Dostinex - Cat. II
Ritalin - Cat. I;;Fycompa - Cat. II;Fluoxetine - Cat. I;Hooikoortstablet cetirizine - Cat. I;;Impromen - Cat. II;Flunitrazepam - Cat. III;;Relpax - Cat. II;;;Zyban - Cat. II;Instanyl - Cat. III → I;Mirapexin - Cat. II;;Indometacine - Cat. I
Strattera - Cat. I;;Gabapentine - Cat. II;Fluvoxamine - Cat. I;Hooikoortstablet loratadine - Cat. I;;Invega - Cat. II;Flurazepam - Cat. III;;Rizatriptan - Cat. II;;;Zyntabac - Cat. II;Kapanol - Cat. III → I;Neupro - Cat. II;;Lamberts - Cat. I
;;Keppra - Cat. II;Fluvoxaminemaleaat - Cat. I;Hydroxyzine - Cat. III;;Leponex - Cat. II;Frisium - Cat. II;;Sandomigran - Cat. II;;;;Melrosum - Cat. II;Parlodel - Cat. II;;Leflunomide - Cat. I
;;Lamictal - Cat. II;Imipramine - Cat. II;Kestine - Cat. I;;Neuleptil - Cat. III;Imovane - Cat. III → I;;Sibelium - Cat. II;;;;Methadon drank FNA - Cat. II;Pergolide - Cat. II;;Lutinus - Cat. I
;;Lamotrigine - Cat. II;Lexapro - Cat. I;Ketotifen - Cat. II;;Olanzapine - Cat. II;Lendormin - Cat. III → I;;Sumatriptan - Cat. II;;;;Methadon Regenboog - Cat. II;Permax - Cat. II;;Modafinil - Cat. I
;;Levetiracetam - Cat. II;Lithiumcarbonaat - Cat. II;Levocetirizine - Cat. I;;Orap - Cat. II;Lorazepam - Cat. III;;Zolmitriptan - Cat. II;;;;Morfine - Cat. III → I;Pramipexol - Cat. II;;Modiodal - Cat. I
;;Lyrica - Cat. II;Lithiumcarbonaat - Cat. II;Loratadine - Cat. I;;Perfenazine - Cat. II;Lormetazepam - Cat. III → I;;Zomig - Cat. II;;;;Morzet - Cat. III → I;Selegiline - Cat. I;;Nootropil - Cat. II
;;Mysoline - Cat. III;Maprotiline - Cat. II;Mebhydroline - Cat. I;;Pipamperon - Cat. II;Midazolam - Cat. III → I;;;;;;MS Contin - Cat. III → I;Sifrol - Cat. II;;Norprolac - Cat. II
;;Natriumvalproaat - Cat. II;Mianserine - Cat. III → I;Mizollen - Cat. I;;Quetiapine - Cat. II;Mogadon - Cat. III → I;;;;;;Nalbufine - Cat. II;Sinemet - Cat. II;;Piracetam - Cat. II
;;Neurotin - Cat. II;Mirtazapine - Cat. III → I;Nedeltran - Cat. III;;Risperdal - Cat. II;Nitrazepam - Cat. III → I;;;;;;Oramorph - Cat. III → I;Stalevo - Cat. II;;Plegridy - Cat. 0
;;Orfiril - Cat. II;Moclobemide - Cat. I;Neoclarityn - Cat. I;;Risperidon - Cat. II;Noctamid - Cat. III → I;;;;;;Oxycodon - Cat. II;Stalevo - Cat. II;;Prialt - Cat. III
;;Propymal - Cat. II;Nardil - Cat. II;Periactin - Cat. II;;Semap - Cat. II;Normison - Cat. III → I;;;;;;Oxycontin - Cat. II;Symmetrel - Cat. I;;Rilutek - Cat. I
;;Sabril - Cat. II;Nortrilen - Cat. II;Polaramine - Cat. II;;Serdolect - Cat. II;Oxazepam - Cat. III → I;;;;;;Oxynorm - Cat. II;;;Riluzol - Cat. I
;;Taloxa - Cat. II;Parnate - Cat. II;Prevalin Allerstop - Cat. I;;Seroquel - Cat. II;Reapam - Cat. II;;;;;;Palexia - Cat. III → I;;;Scopoderm - Cat. II
;;Tegretol - Cat. II;Paroxetine - Cat. I;Primatour - Cat. II;;Tiapridal - Cat. II;Rivotril - Cat. II;;;;;;Palface - Cat. III → I;;;Scopolamine - Cat. II
;;Topamax - Cat. II;Priadel - Cat. II;Promethazine - Cat. III;;Truxal - Cat. III;Seresta - Cat. III → I;;;;;;Palfium - Cat. III → I;;;Silodyx - Cat. 0
;;Topiramaat - Cat. II;Priadel - Cat. II;Reactine - Cat. I;;Xeplion - Cat. II;Stesolid - Cat. III;;;;;;Palladon - Cat. II;;;Sirdalud - Cat. I
;;Trileptal - Cat. II;Prothiaden - Cat. III → I;Rupafin - Cat. I;;Zypadhera - Cat. II;Stilnoct - Cat. III → I;;;;;;Pethidine - Cat. III → I;;;Utrogestan - Cat. I
;;Valproïnezuur - Cat. II;Prozac - Cat. I;Rupatadine - Cat. I;;Zyprexa - Cat. II;Temazepam - Cat. III → I;;;;;;Pinadone - Cat. II;;;Valdispert - Cat. I
;;Vimpat - Cat. II;Remeron - Cat. III → I;Semprex - Cat. I;;;Temesta - Cat. III;;;;;;Rapifen - Cat. III;;;Valeriaan - Cat. I
;;;Sarotex - Cat. III → I;Suprimal - Cat. II;;;Tranxene - Cat. II;;;;;;Remifentanil - Cat. III;;;Xenazine - Cat. II
;;;Seroxat - Cat. I;Tavegyl - Cat. III;;;Valium - Cat. III;;;;;;Suboxone - Cat. III → I;;;Xyrem - Cat. III → I
;;;Sertraline - Cat. I;Telfast - Cat. I;;;Xanax - Cat. III;;;;;;Sufenta - Cat. III → I;;;
;;;Sinequan - Cat. III → I;Telfast junior - Cat. I;;;Zolpidem - Cat. III → I;;;;;;Sufentanil - Cat. III → I;;;
;;;Tolvon - Cat. III → I;Tinset - Cat. II;;;Zopiclon - Cat. III → I;;;;;;Symoron - Cat. II;;;
;;;Tracydal - Cat. II;Xyzal - Cat. I;;;;;;;;;Targinact - Cat. II;;;
;;;Trazolan - Cat. III;Zadifen - Cat. II;;;;;;;;;Temgesic - Cat. III → I;;;
;;;Tryptizol - Cat. III → I;Zyrtec - Cat. I;;;;;;;;;Tradonal - Cat. III → I;;;
;;;Valdoxan - Cat. I;;;;;;;;;;Tramadol - Cat. III → I;;;
;;;Venlafaxine - Cat. I;;;;;;;;;;Tramagetic - Cat. III → I;;;
;;;Zoloft - Cat. I;;;;;;;;;;Tramal - Cat. III → I;;;
;;;;;;;;;;;;;Transtec - Cat. III → I;;;
;;;;;;;;;;;;;Ultiva - Cat. III;;;
